"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"ACTRT3",190.350693145091,-1.49291002510307,0.348479666116657,-4.28406638969661,1.83508115479128e-05,4.86575025454089e-05,7.98822995231592,7.79816003717992,6.36973747735833,7.58936501813705,7.06096317358558,7.92229117689995,7.3706176435806,8.08608849625627,6.73935919569914,6.61160551671844
"ACVR2A",8002.17680244585,2.12057660899395,0.192752895905438,11.0015291808341,3.75705998478022e-28,9.36901684269146e-27,11.5030515831092,11.9648190094459,13.4571601815255,11.5146926953175,13.7443664885006,11.4982721576945,13.5355605707546,11.9913701826426,13.4786211219216,13.2982776157546
"ACVR2B",9447.30364568765,2.50858904051131,0.201337465315353,12.4596236303171,1.23954220895517e-35,5.47558916933023e-34,11.4869718483381,11.5560077521621,13.8424928731524,11.8425220047536,13.7536112364524,11.3554068025255,13.6240749149538,11.975994688833,14.0826601890112,13.5816522535328
"ACVR2B-AS1",298.759331685641,1.80798058007687,0.35501209129278,5.09272958420398,3.52944927059494e-07,1.19093878595959e-06,6.89127656281256,7.13911447756945,8.94178452533024,7.78292962349795,8.54109728895944,7.32537313412652,7.86123527323236,7.20576996561169,8.60873955772394,8.8584269504907
"ACY1",821.206816967223,-1.54630999382007,0.418119049188205,-3.69825291821145,0.000217088525551229,0.000488986843465553,9.71252590909,9.9100982160046,8.88481048211826,9.42974746013944,8.97452184708523,11.1189354054932,8.69991839985694,9.21622148727909,8.72901167559719,8.89581857710468
"ACYP2",3081.98067934488,-2.63023638094925,0.26263725891668,-10.0147115142702,1.31344536335297e-23,2.31289051968113e-22,11.8964036450176,12.3633133390951,9.97388144974759,11.7642960592616,9.80464255160846,12.5703876777566,10.440947582602,12.0736229138692,9.82647914514404,9.61733217154154
"ADA",372.358370847498,-1.86297881286562,0.445261686472489,-4.18400879632101,2.86413020518177e-05,7.38284713276347e-05,8.6463852403988,9.14597391171811,7.30399378650693,8.00191202512657,7.35162693386558,9.77011462854449,7.84383902255967,8.25386166673779,7.83159599050772,7.1971643280106
"ADAM11",15782.9622809614,-1.82364102016795,0.328382788177996,-5.55340013490435,2.80165752803722e-08,1.08021015064797e-07,14.7178298618022,14.1732918221321,12.5531320002058,15.0278093416212,12.8863910761091,13.451968723163,13.3109675795238,14.327568122648,12.8337433848308,12.7642129150639
"ADAM12",430.065575057782,1.81436610817843,0.458895919199262,3.95376387600997,7.69313328164321e-05,0.000185472530278318,7.27600374445967,7.19595351561455,8.888671478944,7.18505283180399,8.8299178189402,8.60674479199675,9.81107693336961,7.90897005975253,9.24183460976621,8.57699539371117
"ADAMTS10",10527.6574722469,1.22738168013667,0.271757445685381,4.51646017293535,6.28819372814863e-06,1.78749334861015e-05,12.8584747602473,12.2478823579916,13.7519860836745,13.1285617325953,13.6479950470816,12.8625315071624,13.4231251881045,12.1860879885102,13.6496127859419,14.1629432904706
"ADAMTS12",104.779204136006,5.0467807403757,0.815560224039533,6.18811534895437,6.08877692003449e-10,2.87270613245814e-09,4.76009344556212,4.6098845315642,6.95882877230765,3.85525497810888,6.66410418417482,4.20488498542153,7.47016356216616,4.0778319048534,6.9890221184841,5.79046596321368
"ADAMTS17",563.608118405458,-1.57270892053903,0.386679248361638,-4.0672183138935,4.75776664468628e-05,0.000118511084410334,9.59952911579398,9.14456863575511,7.76452874799793,9.54028407003473,8.9621522550401,10.0191381108368,8.07623708143206,9.1580201549183,8.55402218291681,7.62961668450562
"ADAMTS19",287.647404405263,-1.66214769656903,0.314987292813232,-5.27687222466649,1.31407443716944e-07,4.67592747366552e-07,8.56342284829678,8.64789333453944,6.84845896083377,8.75695236886013,7.6923535544258,8.00043178754893,7.0197255052042,8.61679977449371,7.48329839233427,7.4872226363371
"ADAMTS4",1286.37991067721,-3.71776005809998,0.387673707383561,-9.58992056281408,8.81528566462222e-22,1.3561505637883e-20,11.3222986082486,11.4878355811333,8.20116535259489,10.0597210851233,7.84506005253855,9.835696571809,7.85572326115082,10.9976216894451,7.82243491158952,7.52111460694438
